lat_center,lon_center,x,y,img_id,vegetation_pct,water_pct
-3.90209,-38.52963,39,2,39_02,0.5693,0.0
-3.90209,-38.52645,40,2,40_02,0.5467,0.0
-3.90209,-38.52328,41,2,41_02,0.3787,0.0
-3.90209,-38.5201,42,2,42_02,0.1166,0.0
-3.90209,-38.51693,43,2,43_02,0.1149,0.0
-3.90209,-38.51375,44,2,44_02,0.176,0.0
-3.90209,-38.51058,45,2,45_02,0.16,0.0
-3.90209,-38.50741,46,2,46_02,0.1566,0.0
-3.90209,-38.50423,47,2,47_02,0.1768,0.0
-3.90209,-38.50106,48,2,48_02,0.0442,0.0
-3.90209,-38.49788,49,2,49_02,0.3692,0.0
-3.90209,-38.49471,50,2,50_02,0.2082,0.0
-3.90209,-38.49153,51,2,51_02,0.1532,0.0
-3.90209,-38.48836,52,2,52_02,0.1571,0.0
-3.90209,-38.48518,53,2,53_02,0.2036,0.2629
-3.90209,-38.48201,54,2,54_02,0.1936,0.3691
-3.90209,-38.47883,55,2,55_02,0.6263,0.0004
-3.90209,-38.47566,56,2,56_02,0.1062,0.5453
-3.90209,-38.47249,57,2,57_02,0.0,0.8073
-3.90209,-38.46931,58,2,58_02,0.0,0.9012
-3.90209,-38.46614,59,2,59_02,0.101,0.524
-3.90209,-38.46296,60,2,60_02,0.3818,0.1599
-3.90209,-38.45979,61,2,61_02,0.4558,0.0
-3.90209,-38.45661,62,2,62_02,0.1887,0.0
-3.90209,-38.45344,63,2,63_02,0.1977,0.0
-3.89891,-38.65344,0,3,00_03,0.7519,0.0
-3.89891,-38.65026,1,3,01_03,0.5655,0.0
-3.89891,-38.64709,2,3,02_03,0.7831,0.0
-3.89891,-38.64391,3,3,03_03,0.799,0.0
-3.89891,-38.64074,4,3,04_03,0.8152,0.0
-3.89891,-38.63756,5,3,05_03,0.8866,0.0
-3.89891,-38.63439,6,3,06_03,0.8877,0.0
-3.89891,-38.63122,7,3,07_03,0.6933,0.0
-3.89891,-38.62804,8,3,08_03,0.6477,0.0
-3.89891,-38.62487,9,3,09_03,0.5979,0.0
-3.89891,-38.62169,10,3,10_03,0.2503,0.0
-3.89891,-38.61852,11,3,11_03,0.2444,0.0
-3.89891,-38.61534,12,3,12_03,0.2325,0.0
-3.89891,-38.61217,13,3,13_03,0.1201,0.0
-3.89891,-38.60899,14,3,14_03,0.1864,0.0
-3.89891,-38.60582,15,3,15_03,0.5944,0.0163
-3.89891,-38.60264,16,3,16_03,0.7051,0.0128
-3.89891,-38.59947,17,3,17_03,0.622,0.0
-3.89891,-38.59629,18,3,18_03,0.7807,0.0
-3.89891,-38.59312,19,3,19_03,0.8736,0.0
-3.89891,-38.58995,20,3,20_03,0.8383,0.0
-3.89891,-38.58677,21,3,21_03,0.5061,0.0
-3.89891,-38.5836,22,3,22_03,0.4135,0.0
-3.89891,-38.58042,23,3,23_03,0.6175,0.0
-3.89891,-38.57725,24,3,24_03,0.7595,0.0
-3.89891,-38.57407,25,3,25_03,0.7353,0.0
-3.89891,-38.5709,26,3,26_03,0.7151,0.0
-3.89891,-38.56772,27,3,27_03,0.7355,0.0
-3.89891,-38.56455,28,3,28_03,0.7818,0.0
-3.89891,-38.56137,29,3,29_03,0.6057,0.0
-3.89891,-38.5582,30,3,30_03,0.6345,0.0
-3.89891,-38.55502,31,3,31_03,0.7782,0.0
-3.89891,-38.55185,32,3,32_03,0.8727,0.0
-3.89891,-38.54868,33,3,33_03,0.8805,0.0
-3.89891,-38.5455,34,3,34_03,0.6672,0.0
-3.89891,-38.54233,35,3,35_03,0.3155,0.0
-3.89891,-38.53915,36,3,36_03,0.4889,0.0
-3.89891,-38.53598,37,3,37_03,0.7317,0.0
-3.89891,-38.5328,38,3,38_03,0.7812,0.0
-3.89891,-38.52963,39,3,39_03,0.5766,0.0
-3.89891,-38.52645,40,3,40_03,0.3575,0.0
-3.89891,-38.52328,41,3,41_03,0.2105,0.0
-3.89891,-38.5201,42,3,42_03,0.0072,0.0
-3.89891,-38.51693,43,3,43_03,0.0109,0.0
-3.89891,-38.51375,44,3,44_03,0.0506,0.0
-3.89891,-38.51058,45,3,45_03,0.1579,0.0
-3.89891,-38.50741,46,3,46_03,0.2673,0.0
-3.89891,-38.50423,47,3,47_03,0.2481,0.0
-3.89891,-38.50106,48,3,48_03,0.1799,0.0
-3.89891,-38.49788,49,3,49_03,0.209,0.0
-3.89891,-38.49471,50,3,50_03,0.1865,0.0511
-3.89891,-38.49153,51,3,51_03,0.2118,0.0
-3.89891,-38.48836,52,3,52_03,0.1203,0.0
-3.89891,-38.48518,53,3,53_03,0.0364,0.058
-3.89891,-38.48201,54,3,54_03,0.0439,0.1675
-3.89891,-38.47883,55,3,55_03,0.1126,0.0128
-3.89891,-38.47566,56,3,56_03,0.1452,0.1732
-3.89891,-38.47249,57,3,57_03,0.0165,0.5356
-3.89891,-38.46931,58,3,58_03,0.191,0.5027
-3.89891,-38.46614,59,3,59_03,0.3957,0.2201
-3.89891,-38.46296,60,3,60_03,0.4956,0.0
-3.89891,-38.45979,61,3,61_03,0.2396,0.0
-3.89891,-38.45661,62,3,62_03,0.1252,0.0
-3.89891,-38.45344,63,3,63_03,0.1287,0.0
-3.89574,-38.65344,0,4,00_04,0.7946,0.0
-3.89574,-38.65026,1,4,01_04,0.7381,0.0
-3.89574,-38.64709,2,4,02_04,0.7305,0.0
-3.89574,-38.64391,3,4,03_04,0.6494,0.0
-3.89574,-38.64074,4,4,04_04,0.7779,0.0
-3.89574,-38.63756,5,4,05_04,0.8882,0.0
-3.89574,-38.63439,6,4,06_04,0.8686,0.0
-3.89574,-38.63122,7,4,07_04,0.8483,0.0
-3.89574,-38.62804,8,4,08_04,0.6942,0.0
-3.89574,-38.62487,9,4,09_04,0.4416,0.0
-3.89574,-38.62169,10,4,10_04,0.1081,0.0
-3.89574,-38.61852,11,4,11_04,0.1599,0.0
-3.89574,-38.61534,12,4,12_04,0.272,0.0
-3.89574,-38.61217,13,4,13_04,0.1199,0.0
-3.89574,-38.60899,14,4,14_04,0.0776,0.0
-3.89574,-38.60582,15,4,15_04,0.2104,0.0
-3.89574,-38.60264,16,4,16_04,0.5298,0.0
-3.89574,-38.59947,17,4,17_04,0.5648,0.0
-3.89574,-38.59629,18,4,18_04,0.3958,0.0
-3.89574,-38.59312,19,4,19_04,0.556,0.0
-3.89574,-38.58995,20,4,20_04,0.8492,0.0
-3.89574,-38.58677,21,4,21_04,0.6955,0.0
-3.89574,-38.5836,22,4,22_04,0.7583,0.0
-3.89574,-38.58042,23,4,23_04,0.8998,0.0
-3.89574,-38.57725,24,4,24_04,0.8057,0.0
-3.89574,-38.57407,25,4,25_04,0.7371,0.0
-3.89574,-38.5709,26,4,26_04,0.4729,0.0
-3.89574,-38.56772,27,4,27_04,0.6447,0.0
-3.89574,-38.56455,28,4,28_04,0.7371,0.0
-3.89574,-38.56137,29,4,29_04,0.6082,0.0
-3.89574,-38.5582,30,4,30_04,0.7276,0.0
-3.89574,-38.55502,31,4,31_04,0.8416,0.0
-3.89574,-38.55185,32,4,32_04,0.8208,0.0
-3.89574,-38.54868,33,4,33_04,0.774,0.0
-3.89574,-38.5455,34,4,34_04,0.49,0.0
-3.89574,-38.54233,35,4,35_04,0.4853,0.0
-3.89574,-38.53915,36,4,36_04,0.6956,0.0
-3.89574,-38.53598,37,4,37_04,0.6593,0.0
-3.89574,-38.5328,38,4,38_04,0.6888,0.0
-3.89574,-38.52963,39,4,39_04,0.434,0.0
-3.89574,-38.52645,40,4,40_04,0.179,0.0
-3.89574,-38.52328,41,4,41_04,0.1576,0.0
-3.89574,-38.5201,42,4,42_04,0.1155,0.0
-3.89574,-38.51693,43,4,43_04,0.0261,0.0
-3.89574,-38.51375,44,4,44_04,0.033,0.0
-3.89574,-38.51058,45,4,45_04,0.0961,0.0
-3.89574,-38.50741,46,4,46_04,0.3133,0.0
-3.89574,-38.50423,47,4,47_04,0.2763,0.0
-3.89574,-38.50106,48,4,48_04,0.1069,0.0
-3.89574,-38.49788,49,4,49_04,0.1845,0.0
-3.89574,-38.49471,50,4,50_04,0.261,0.0381
-3.89574,-38.49153,51,4,51_04,0.146,0.4346
-3.89574,-38.48836,52,4,52_04,0.1328,0.0
-3.89574,-38.48518,53,4,53_04,0.0443,0.0
-3.89574,-38.48201,54,4,54_04,0.0104,0.0
-3.89574,-38.47883,55,4,55_04,0.0092,0.0
-3.89574,-38.47566,56,4,56_04,0.0651,0.0
-3.89574,-38.47249,57,4,57_04,0.3878,0.0052
-3.89574,-38.46931,58,4,58_04,0.5728,0.1657
-3.89574,-38.46614,59,4,59_04,0.3887,0.0167
-3.89574,-38.46296,60,4,60_04,0.0973,0.0
-3.89574,-38.45979,61,4,61_04,0.008,0.0
-3.89574,-38.45661,62,4,62_04,0.0575,0.0
-3.89574,-38.45344,63,4,63_04,0.1254,0.0
-3.89256,-38.65344,0,5,00_05,0.5379,0.1883
-3.89256,-38.65026,1,5,01_05,0.7507,0.015
-3.89256,-38.64709,2,5,02_05,0.4681,0.0354
-3.89256,-38.64391,3,5,03_05,0.2897,0.0
-3.89256,-38.64074,4,5,04_05,0.475,0.0
-3.89256,-38.63756,5,5,05_05,0.6554,0.0
-3.89256,-38.63439,6,5,06_05,0.5936,0.0
-3.89256,-38.63122,7,5,07_05,0.7957,0.0
-3.89256,-38.62804,8,5,08_05,0.7374,0.0
-3.89256,-38.62487,9,5,09_05,0.358,0.0
-3.89256,-38.62169,10,5,10_05,0.1356,0.0
-3.89256,-38.61852,11,5,11_05,0.0443,0.0
-3.89256,-38.61534,12,5,12_05,0.0908,0.0
-3.89256,-38.61217,13,5,13_05,0.0451,0.0
-3.89256,-38.60899,14,5,14_05,0.0129,0.0
-3.89256,-38.60582,15,5,15_05,0.3129,0.0
-3.89256,-38.60264,16,5,16_05,0.5131,0.0
-3.89256,-38.59947,17,5,17_05,0.3042,0.0
-3.89256,-38.59629,18,5,18_05,0.1042,0.0
-3.89256,-38.59312,19,5,19_05,0.2477,0.0
-3.89256,-38.58995,20,5,20_05,0.683,0.0
-3.89256,-38.58677,21,5,21_05,0.8211,0.0
-3.89256,-38.5836,22,5,22_05,0.7652,0.0
-3.89256,-38.58042,23,5,23_05,0.7436,0.0
-3.89256,-38.57725,24,5,24_05,0.6856,0.0
-3.89256,-38.57407,25,5,25_05,0.5803,0.0
-3.89256,-38.5709,26,5,26_05,0.5756,0.0
-3.89256,-38.56772,27,5,27_05,0.7953,0.0
-3.89256,-38.56455,28,5,28_05,0.815,0.0
-3.89256,-38.56137,29,5,29_05,0.7962,0.0
-3.89256,-38.5582,30,5,30_05,0.824,0.0
-3.89256,-38.55502,31,5,31_05,0.8364,0.0
-3.89256,-38.55185,32,5,32_05,0.8165,0.0
-3.89256,-38.54868,33,5,33_05,0.7663,0.0
-3.89256,-38.5455,34,5,34_05,0.583,0.0
-3.89256,-38.54233,35,5,35_05,0.7084,0.0
-3.89256,-38.53915,36,5,36_05,0.627,0.0
-3.89256,-38.53598,37,5,37_05,0.1948,0.0
-3.89256,-38.5328,38,5,38_05,0.3587,0.0
-3.89256,-38.52963,39,5,39_05,0.2574,0.0
-3.89256,-38.52645,40,5,40_05,0.1661,0.0
-3.89256,-38.52328,41,5,41_05,0.2709,0.0
-3.89256,-38.5201,42,5,42_05,0.276,0.0
-3.89256,-38.51693,43,5,43_05,0.0334,0.0
-3.89256,-38.51375,44,5,44_05,0.045,0.0
-3.89256,-38.51058,45,5,45_05,0.0862,0.0
-3.89256,-38.50741,46,5,46_05,0.0886,0.0
-3.89256,-38.50423,47,5,47_05,0.066,0.0102
-3.89256,-38.50106,48,5,48_05,0.0475,0.0
-3.89256,-38.49788,49,5,49_05,0.132,0.0
-3.89256,-38.49471,50,5,50_05,0.16,0.0103
-3.89256,-38.49153,51,5,51_05,0.1564,0.0
-3.89256,-38.48836,52,5,52_05,0.3383,0.0
-3.89256,-38.48518,53,5,53_05,0.1248,0.0
-3.89256,-38.48201,54,5,54_05,0.087,0.0
-3.89256,-38.47883,55,5,55_05,0.1247,0.0
-3.89256,-38.47566,56,5,56_05,0.1735,0.0
-3.89256,-38.47249,57,5,57_05,0.4066,0.0
-3.89256,-38.46931,58,5,58_05,0.3296,0.0
-3.89256,-38.46614,59,5,59_05,0.1616,0.0
-3.89256,-38.46296,60,5,60_05,0.0698,0.0
-3.89256,-38.45979,61,5,61_05,0.044,0.0
-3.89256,-38.45661,62,5,62_05,0.0745,0.0
-3.89256,-38.45344,63,5,63_05,0.1672,0.0
-3.88939,-38.65344,0,6,00_06,0.1239,0.569
-3.88939,-38.65026,1,6,01_06,0.4718,0.2508
-3.88939,-38.64709,2,6,02_06,0.3754,0.0214
-3.88939,-38.64391,3,6,03_06,0.3202,0.0
-3.88939,-38.64074,4,6,04_06,0.1275,0.0
-3.88939,-38.63756,5,6,05_06,0.1147,0.0
-3.88939,-38.63439,6,6,06_06,0.0655,0.0
-3.88939,-38.63122,7,6,07_06,0.2721,0.0
-3.88939,-38.62804,8,6,08_06,0.3251,0.0
-3.88939,-38.62487,9,6,09_06,0.2907,0.0
-3.88939,-38.62169,10,6,10_06,0.1882,0.0
-3.88939,-38.61852,11,6,11_06,0.0477,0.0
-3.88939,-38.61534,12,6,12_06,0.0275,0.0
-3.88939,-38.61217,13,6,13_06,0.0273,0.0
-3.88939,-38.60899,14,6,14_06,0.0104,0.0
-3.88939,-38.60582,15,6,15_06,0.3031,0.0
-3.88939,-38.60264,16,6,16_06,0.5522,0.0
-3.88939,-38.59947,17,6,17_06,0.3925,0.0
-3.88939,-38.59629,18,6,18_06,0.1147,0.0
-3.88939,-38.59312,19,6,19_06,0.2366,0.0
-3.88939,-38.58995,20,6,20_06,0.4033,0.0
-3.88939,-38.58677,21,6,21_06,0.6243,0.0
-3.88939,-38.5836,22,6,22_06,0.6521,0.0
-3.88939,-38.58042,23,6,23_06,0.4349,0.0
-3.88939,-38.57725,24,6,24_06,0.3955,0.0
-3.88939,-38.57407,25,6,25_06,0.5628,0.0
-3.88939,-38.5709,26,6,26_06,0.8017,0.0
-3.88939,-38.56772,27,6,27_06,0.8082,0.0
-3.88939,-38.56455,28,6,28_06,0.6544,0.0
-3.88939,-38.56137,29,6,29_06,0.6958,0.0
-3.88939,-38.5582,30,6,30_06,0.7026,0.0
-3.88939,-38.55502,31,6,31_06,0.7824,0.0
-3.88939,-38.55185,32,6,32_06,0.8431,0.0
-3.88939,-38.54868,33,6,33_06,0.5174,0.0
-3.88939,-38.5455,34,6,34_06,0.5867,0.0
-3.88939,-38.54233,35,6,35_06,0.7116,0.0
-3.88939,-38.53915,36,6,36_06,0.516,0.0
-3.88939,-38.53598,37,6,37_06,0.2699,0.0
-3.88939,-38.5328,38,6,38_06,0.2333,0.0
